證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
6196,帆宣            ,1272395,1120391,152004,0,0,0,0,556,-556,-70093,14000,30000,-16000,86664,140757,-54093,81355,
1471,首利            ,141101,63000,78101,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,80101,
6831,邁科            ,866060,769500,96560,0,0,0,0,775,-775,-16157,17,36689,-36672,63422,42907,20515,79628,
6670,復盛應用        ,349000,267000,82000,0,0,0,11000,9304,1696,-4661,0,2000,-2000,1518,4179,-2661,79035,
8222,寶一            ,139017,63000,76017,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,78017,
6923,中台            ,184000,106000,78000,0,0,0,0,0,0,1,0,0,0,1,0,1,78001,
3661,世芯-KY         ,1663795,1586054,77741,0,0,0,84000,1154,82846,-83093,15570,28000,-12430,29038,99701,-70663,77494,
2368,金像電          ,1564439,2222712,-658273,0,0,0,792295,64650,727645,8046,70743,96600,-25857,188681,154778,33903,77418,
6742,澤米            ,140000,67090,72910,0,0,0,0,0,0,-1000,1000,2000,-1000,0,0,0,71910,
1786,科妍            ,176000,103000,73000,0,0,0,0,0,0,-1128,6000,7329,-1329,201,0,201,71872,
6658,聯策            ,73839,7000,66839,0,0,0,0,2000,-2000,7000,1000,1000,0,7000,0,7000,71839,
6668,中揚光          ,138000,65000,73000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,71000,
5258,虹堡            ,521000,446000,75000,0,0,0,0,0,0,-4201,3000,7201,-4201,0,0,0,70799,
4178,永笙-KY         ,89000,20000,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,
6243,迅杰            ,130000,62000,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,68000,
8464,億豐            ,994744,912167,82577,0,0,0,0,0,0,-15295,0,15000,-15000,3363,3658,-295,67282,
1256,鮮活果汁-KY     ,103000,35000,68000,0,0,0,0,0,0,-1000,2000,3000,-1000,0,0,0,67000,
2330,台積電          ,28493986,37731251,-9237265,0,0,0,9561000,681311,8879689,424523,124000,855556,-731556,2245368,1089289,1156079,66947,
6526,達發            ,702494,624615,77879,0,0,0,0,619,-619,-10480,4000,6833,-2833,74405,82052,-7647,66780,
6405,悅城            ,78000,83800,-5800,0,0,0,0,0,0,70809,1000,1191,-191,173000,102000,71000,65009,
2852,第一保          ,155000,82000,73000,0,0,0,0,3379,-3379,-5000,0,5000,-5000,0,0,0,64621,
6117,迎廣            ,199000,102000,97000,0,0,0,0,0,0,-33000,0,0,0,0,33000,-33000,64000,
6416,瑞祺電通        ,120000,55000,65000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,63000,
4560,強信-KY         ,210000,156000,54000,0,0,0,0,0,0,9000,11000,2000,9000,0,0,0,63000,
3038,全台            ,121000,50000,71000,0,0,0,0,1437,-1437,-7000,0,7000,-7000,0,0,0,62563,
6272,驊陞            ,118000,56000,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,
2444,兆勁            ,170000,108000,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,
