證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2402,毅嘉,398021,245000,153021,0,0,0,0,0,0,-30846,4000,5410,-1410,5001,34437,-29436,122175
5285,界霖,491211,324313,166898,0,0,0,0,0,0,-45086,0,44000,-44000,449,1535,-1086,121812
02001L,富邦蘋果正二N,0,0,0,0,0,0,0,0,0,121000,0,0,0,124000,3000,121000,121000
2414,精技,152405,27000,125405,0,0,0,0,4000,-4000,-4000,0,4000,-4000,0,0,0,117405
6969,成信實業*-創,136000,22000,114000,0,0,0,0,0,0,3268,0,0,0,14000,10732,3268,117268
1617,榮星,168000,51011,116989,0,0,0,0,0,0,81,2000,1919,81,0,0,0,117070
2323,中環,1482445,1350000,132445,0,0,0,0,0,0,-16000,0,12000,-12000,0,4000,-4000,116445
2243,宏旭-KY,193000,78000,115000,0,0,0,0,2000,-2000,1705,1705,0,1705,0,0,0,114705
2516,新建,120000,3000,117000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,114000
2365,昆盈,207001,94000,113001,0,0,0,0,0,0,0,0,0,0,0,0,0,113001
4968,立積,145000,38000,107000,0,0,0,0,0,0,5427,8000,1183,6817,1000,2390,-1390,112427
6885,全福生技,245006,134000,111006,0,0,0,0,0,0,0,0,0,0,0,0,0,111006
2237,華德動能-創,112000,1000,111000,0,0,0,0,0,0,0,0,0,0,0,0,0,111000
6598,ABC-KY,131000,20652,110348,0,0,0,0,0,0,0,0,0,0,0,0,0,110348
4764,雙鍵,343000,243000,100000,0,0,0,0,0,0,8242,2000,1000,1000,9135,1893,7242,108242
6120,達運,1195762,886000,309762,0,0,0,0,0,0,-201985,0,5000,-5000,2297,199282,-196985,107777
1325,恆大,123008,17061,105947,0,0,0,0,0,0,0,0,0,0,0,0,0,105947
